iter	Passed	Remaining
401	17547	17372
402	17589	17327
403	17629	17280
404	17671	17235
405	17715	17191
406	17755	17144
407	17799	17101
408	17839	17054
409	17878	17006
410	17919	16960
411	17960	16914
412	18001	16868
413	18041	16821
414	18082	16775
415	18122	16728
416	18164	16683
417	18206	16638
418	18247	16592
419	18288	16546
420	18343	16513
421	18385	16468
422	18429	16424
423	18470	16379
424	18512	16334
425	18554	16289
426	18595	16243
427	18652	16212
428	18695	16168
429	18736	16122
430	18779	16077
431	18839	16048
432	18906	16024
433	18953	15983
434	18995	15938
435	19043	15898
436	19086	15854
437	19134	15814
438	19176	15769
439	19218	15723
440	19266	15684
441	19307	15638
442	19349	15593
443	19391	15547
444	19432	15502
445	19474	15457
446	19515	15411
447	19556	15366
448	19598	15320
449	19638	15274
450	19678	15228
451	19719	15182
452	19762	15138
453	19803	15092
454	19844	15046
455	19885	15001
456	19926	14955
457	19969	14911
458	20011	14866
459	20052	14821
460	20093	14776
461	20135	14730
462	20177	14686
463	20219	14641
464	20269	14602
465	20309	14556
466	20359	14517
467	20400	14471
468	20442	14427
469	20483	14382
470	20525	14337
471	20567	14292
472	20610	14248
473	20653	14204
474	20696	14160
475	20738	14116
476	20780	14071
477	20822	14026
478	20861	13980
479	20903	13935
480	20943	13890
481	20993	13850
482	21052	13817
483	21106	13780
484	21148	13735
485	21189	13690
486	21230	13644
487	21271	13599
488	21312	13554
489	21354	13509
490	21395	13464
491	21436	13419
492	21478	13375
493	21520	13330
494	21562	13285
495	21602	13240
496	21643	13195
497	21685	13150
498	21728	13106
499	21769	13061
500	21812	13017
501	21854	12973
502	21894	12927
503	21934	12882
504	21990	12845
505	22033	12802
506	22075	12757
507	22123	12716
508	22163	12671
509	22204	12625
510	22245	12581
511	22286	12536
512	22328	12491
513	22370	12447
514	22412	12403
515	22453	12358
516	22494	12313
517	22535	12268
518	22578	12224
519	22620	12180
520	22663	12136
521	22706	12092
522	22746	12047
523	22787	12002
524	22827	11957
525	22869	11913
526	22909	11867
527	22951	11823
528	22993	11779
529	23035	11735
530	23076	11690
531	23116	11645
532	23167	11605
533	23216	11565
534	23278	11530
535	23317	11484
536	23358	11440
537	23398	11394
538	23438	11349
539	23477	11304
540	23515	11257
541	23556	11213
542	23598	11169
543	23640	11125
544	23683	11081
545	23724	11036
546	23766	10992
547	23807	10948
548	23854	10905
549	23895	10861
550	23939	10818
551	23981	10774
552	24021	10729
553	24062	10685
554	24105	10641
555	24146	10596
556	24188	10552
557	24229	10508
558	24271	10463
559	24312	10419
560	24352	10374
561	24401	10333
562	24445	10290
563	24486	10246
564	24527	10201
565	24570	10158
566	24620	10117
567	24662	10073
568	24704	10029
569	24748	9986
570	24803	9947
571	24858	9908
572	24903	9865
573	24946	9821
574	24987	9777
575	25029	9733
576	25070	9689
577	25113	9645
578	25155	9601
579	25196	9557
580	25239	9513
581	25282	9470
582	25348	9435
583	25425	9403
584	25467	9359
585	25511	9316
586	25553	9272
587	25595	9228
588	25638	9184
589	25679	9140
590	25721	9095
591	25762	9051
592	25811	9010
593	25852	8965
594	25893	8921
595	25935	8877
596	25976	8832
597	26019	8789
598	26060	8744
599	26101	8700
600	26143	8656
601	26183	8611
602	26226	8568
603	26267	8523
604	26307	8479
605	26349	8435
606	26391	8391
607	26432	8347
608	26475	8303
609	26517	8259
610	26559	8215
611	26604	8172
612	26645	8128
613	26687	8084
614	26729	8040
615	26770	7996
616	26811	7952
617	26851	7907
618	26895	7864
619	26942	7821
620	27006	7784
621	27048	7740
622	27089	7696
623	27131	7652
624	27172	7608
625	27214	7564
626	27256	7520
627	27297	7476
628	27339	7432
629	27381	7388
630	27422	7344
631	27464	7300
632	27523	7261
633	27575	7220
634	27618	7176
635	27659	7132
636	27700	7088
637	27742	7044
638	27783	7000
639	27824	6956
640	27865	6912
641	27905	6867
642	27946	6823
643	27988	6779
644	28039	6738
645	28081	6694
646	28123	6650
647	28165	6606
648	28218	6565
649	28262	6522
650	28304	6478
651	28347	6434
652	28389	6390
653	28442	6349
654	28486	6306
655	28533	6263
656	28578	6220
657	28621	6176
658	28663	6132
659	28704	6088
660	28745	6044
661	28794	6002
662	28836	5958
663	28877	5914
664	28915	5870
665	28954	5825
666	28995	5781
667	29036	5737
668	29077	5693
669	29119	5650
670	29168	5607
671	29210	5563
672	29252	5520
673	29293	5476
674	29335	5432
675	29375	5388
676	29417	5344
677	29475	5303
678	29519	5260
679	29561	5216
680	29603	5172
681	29663	5132
682	29720	5091
683	29762	5047
684	29803	5003
685	29845	4959
686	29887	4915
687	29928	4872
688	29971	4828
689	30013	4784
690	30053	4740
691	30094	4696
692	30135	4652
693	30177	4609
694	30220	4565
695	30261	4521
696	30304	4478
697	30345	4434
698	30385	4390
699	30426	4346
700	30467	4302
701	30512	4259
702	30553	4215
703	30596	4172
704	30638	4128
705	30678	4084
706	30719	4040
707	30760	3997
708	30802	3953
709	30843	3909
710	30884	3865
711	30926	3822
712	30966	3778
713	31008	3734
714	31049	3691
715	31090	3647
716	31131	3603
717	31173	3560
718	31214	3516
719	31264	3473
720	31305	3430
721	31346	3386
722	31388	3342
723	31429	3299
724	31473	3255
725	31515	3212
726	31557	3168
727	31599	3125
728	31640	3081
729	31681	3037
730	31723	2994
731	31774	2951
732	31825	2908
733	31874	2866
734	31917	2822
735	31959	2779
736	32000	2735
737	32040	2691
738	32083	2648
739	32124	2604
740	32166	2561
741	32206	2517
742	32248	2473
743	32291	2430
744	32332	2386
745	32374	2343
746	32415	2299
747	32459	2256
748	32501	2213
749	32542	2169
750	32584	2126
751	32627	2082
752	32668	2039
753	32709	1995
754	32751	1952
755	32793	1908
756	32834	1865
757	32875	1821
758	32916	1778
759	32957	1734
760	33000	1691
761	33044	1647
762	33086	1604
763	33128	1561
764	33169	1517
765	33211	1474
766	33252	1430
767	33294	1387
768	33335	1343
769	33376	1300
770	33419	1257
771	33460	1213
772	33502	1170
773	33543	1126
774	33584	1083
775	33625	1039
776	33666	996
777	33707	953
778	33749	909
779	33790	866
780	33831	823
781	33871	779
782	33914	736
783	33974	693
784	34016	649
785	34062	606
786	34102	563
787	34144	519
788	34187	476
789	34227	433
790	34269	389
791	34310	346
792	34350	303
793	34394	259
794	34433	216
795	34473	173
796	34515	129
797	34555	86
798	34596	43
799	34636	0
