iter	RMSE
269	1.727084191
270	1.723042815
271	1.721641879
272	1.718525085
273	1.717242701
274	1.716585355
275	1.714100907
276	1.712799053
277	1.711299009
278	1.691937267
279	1.69056916
280	1.689474086
281	1.684201487
282	1.681711627
283	1.680994259
284	1.680113232
285	1.679201631
286	1.671184624
287	1.670304488
288	1.668979883
289	1.66857946
290	1.652642517
291	1.633398035
292	1.632212521
293	1.620483471
294	1.619977921
295	1.618744344
296	1.617538504
297	1.615210777
298	1.603090243
299	1.602022052
300	1.60103569
301	1.600382253
302	1.599018382
303	1.594166413
304	1.59336818
305	1.580062496
306	1.579648418
307	1.579119376
308	1.563972491
309	1.549263917
310	1.548325573
311	1.546536093
312	1.545994914
313	1.533136301
314	1.532051712
315	1.530863608
316	1.52992901
317	1.528713636
318	1.527791198
319	1.526822206
320	1.525604407
321	1.524911005
322	1.524213976
323	1.523301427
324	1.521678481
325	1.520954279
326	1.519497508
327	1.518171308
328	1.51769448
329	1.516984643
330	1.51617491
331	1.514342947
332	1.503673519
333	1.50310522
334	1.502331006
335	1.501250795
336	1.500175489
337	1.491161066
338	1.488449044
339	1.487913415
340	1.487108127
341	1.485877108
342	1.476350433
343	1.475736219
344	1.473193157
345	1.472731871
346	1.469013952
347	1.467304046
348	1.455429326
349	1.455001979
350	1.454467073
351	1.45295294
352	1.451942687
353	1.450977911
354	1.450074667
355	1.448654248
356	1.440963668
357	1.439979808
358	1.439146879
359	1.437860985
360	1.437190315
361	1.436582545
362	1.435934422
363	1.431908059
364	1.431326401
365	1.416102752
366	1.41543413
367	1.414603846
368	1.413023992
369	1.412111191
370	1.411275513
371	1.410593083
372	1.410191529
373	1.409455521
374	1.408505426
375	1.40791953
376	1.395265366
377	1.394436533
378	1.388133471
379	1.387094228
380	1.386530769
381	1.386029417
382	1.385170505
383	1.384223005
384	1.383611151
385	1.380886978
386	1.380331813
387	1.380120317
388	1.37935762
389	1.378562461
390	1.37779491
391	1.377341913
392	1.376296667
393	1.375600305
394	1.36258327
395	1.353129109
396	1.352600615
397	1.351573497
398	1.350817594
399	1.350197222
400	1.348374172
401	1.347675495
402	1.336091359
403	1.335619027
404	1.335111679
405	1.327889931
406	1.327160996
407	1.326416265
408	1.321866345
409	1.321324924
410	1.320722231
411	1.319185388
412	1.318505133
413	1.316404261
414	1.315376798
415	1.314809338
416	1.314310601
417	1.312888993
418	1.309268978
419	1.303916989
420	1.30054722
421	1.29214662
422	1.290410808
423	1.289671606
424	1.289394216
425	1.288840792
426	1.288050874
427	1.283683727
428	1.281032282
429	1.280098254
430	1.278834201
431	1.278444066
432	1.27003015
433	1.269465669
434	1.262465706
435	1.259970446
436	1.259563219
437	1.259032798
438	1.258160204
439	1.257743323
440	1.257207777
441	1.256540865
442	1.255800771
443	1.246701514
444	1.246237194
445	1.24604854
446	1.245665546
447	1.244400251
448	1.243801479
449	1.243500714
450	1.242934252
451	1.242753064
452	1.242035388
453	1.240443604
454	1.240283603
455	1.239700905
456	1.239418397
457	1.238759613
458	1.238167075
459	1.236921691
460	1.229858474
461	1.229594667
462	1.228762931
463	1.228209509
464	1.227740101
465	1.227084243
466	1.226592735
467	1.226107801
468	1.224327458
469	1.218561476
470	1.218259169
471	1.218070198
472	1.213327146
473	1.212763736
474	1.212554216
475	1.212251682
476	1.212037459
477	1.211460075
478	1.210861798
479	1.210329709
480	1.209972288
481	1.209157511
482	1.208643897
483	1.203237436
484	1.202952236
485	1.202211226
486	1.196045558
487	1.195378392
488	1.195242924
489	1.194733093
490	1.194498241
491	1.19388619
492	1.188657946
493	1.188213465
494	1.187806982
495	1.187465051
496	1.187005098
497	1.180820856
498	1.180300971
499	1.179085798
500	1.178753959
501	1.17866112
502	1.175542598
503	1.175051493
504	1.174624872
505	1.168735399
506	1.168239078
507	1.16368778
508	1.163234737
509	1.161669462
510	1.161440457
511	1.157781919
512	1.151889964
513	1.151483566
514	1.151035087
515	1.149361085
516	1.1441488
517	1.143744712
518	1.14121198
519	1.139848574
520	1.13901093
521	1.138679445
522	1.138155369
523	1.137644712
524	1.134001661
525	1.130156827
526	1.129819497
527	1.125041505
528	1.124489395
529	1.121783686
530	1.121403998
531	1.121033566
532	1.120689737
533	1.120315521
534	1.119909468
535	1.119584932
536	1.119164407
537	1.117569993
538	1.114739228
539	1.114452266
540	1.110093427
541	1.105868591
542	1.105413829
543	1.105167975
544	1.101222449
545	1.10099405
546	1.098182815
547	1.097480823
548	1.097207859
549	1.094399495
550	1.09388549
551	1.090346392
552	1.087902673
553	1.084418291
554	1.083993926
555	1.083690972
556	1.080402304
557	1.077295056
558	1.076962963
559	1.076614065
560	1.076276377
561	1.073281616
562	1.072809868
563	1.072539477
564	1.069700066
565	1.069176121
566	1.068879335
567	1.068528162
568	1.067838581
569	1.064939475
570	1.064831824
571	1.062161257
572	1.061791711
573	1.061272672
574	1.060738771
575	1.060474735
576	1.05803746
577	1.057733438
578	1.055014362
579	1.054782616
580	1.054472893
581	1.052399208
582	1.051838895
583	1.050477178
584	1.048304437
585	1.047953088
586	1.047569062
587	1.047234997
588	1.046715504
589	1.044762017
590	1.044473793
591	1.043980978
592	1.043682488
593	1.043532331
594	1.041464773
595	1.040960789
596	1.040539936
597	1.038525334
598	1.038074676
599	1.037681404
600	1.036218989
601	1.035737508
602	1.035426173
603	1.035100905
604	1.034702192
605	1.034293811
606	1.033850898
607	1.032319189
608	1.031874747
609	1.030754294
610	1.030302832
611	1.029954031
612	1.029572218
613	1.02821362
614	1.027915142
615	1.027554162
616	1.026630886
617	1.026430337
618	1.02487186
619	1.024032806
620	1.023723214
621	1.022485781
622	1.022270774
623	1.020560558
624	1.020392689
625	1.020058255
626	1.018662443
627	1.018423884
628	1.018065279
629	1.017516436
630	1.017144048
631	1.016679062
632	1.015113176
633	1.013816862
634	1.013431897
635	1.013072462
636	1.01280955
637	1.012401965
638	1.011104344
639	1.010771687
640	1.009652751
641	1.008679614
642	1.008539023
643	1.007527944
644	1.006268295
645	1.00589822
646	1.005261448
647	1.00518199
648	1.004828431
649	1.004560137
650	1.003565883
651	1.001462929
652	1.000946558
653	1.000681696
654	1.000465836
655	1.000183613
656	0.9998808636
657	0.9991776207
658	0.9988510311
659	0.9985402299
660	0.998107862
661	0.9972875143
662	0.997026209
663	0.995435361
664	0.9940088073
665	0.993778108
666	0.9933722814
667	0.9930923984
668	0.991895286
669	0.9915796481
670	0.9914005981
671	0.9907046345
672	0.9898559439
673	0.9895608095
674	0.9893433193
675	0.9891942872
676	0.9889456893
677	0.9884172676
678	0.9871543744
679	0.9870144131
680	0.9864636291
681	0.9861908301
682	0.9860723727
683	0.9856210856
684	0.9851861034
685	0.9847825165
686	0.9844320181
687	0.984144045
688	0.9831332943
689	0.9822378953
690	0.9818919892
691	0.9815205758
692	0.980275866
693	0.9797798654
694	0.9795228585
695	0.9784770639
696	0.9775369154
697	0.9770902344
698	0.9769737237
699	0.976693612
700	0.9763626713
701	0.975238964
702	0.97514598
703	0.9747664946
704	0.9744516789
705	0.9743028105
706	0.9740196023
707	0.9737044805
708	0.9731919815
709	0.9730310216
710	0.972357359
711	0.9720539181
712	0.9717667714
713	0.9714088311
714	0.9709339033
715	0.9706430599
716	0.9702977857
717	0.9698980081
718	0.9695821827
719	0.9694158762
720	0.9690858888
721	0.9687229953
722	0.9684024167
723	0.9680746395
724	0.9677835648
725	0.9676417292
726	0.9674418396
727	0.9671281437
728	0.9663244471
729	0.9659696728
730	0.9656254149
731	0.9652826094
732	0.9639930892
733	0.9636771816
734	0.9634537887
735	0.9625503723
736	0.9618432431
737	0.9616350964
738	0.9615830811
739	0.9613320612
740	0.9607523544
741	0.9604472206
742	0.9599645134
743	0.9595147846
744	0.9592557874
745	0.9589268087
746	0.9587221173
747	0.9580409194
748	0.9573670024
749	0.9570649095
750	0.9567396984
751	0.9565309981
752	0.9563254631
753	0.955727618
754	0.9549334255
755	0.9548171763
756	0.9542745441
757	0.9540201015
758	0.9537933777
759	0.9534133617
760	0.9525577524
761	0.9523560349
762	0.9521545234
763	0.9521068642
764	0.9515841164
765	0.9512675192
766	0.9505894994
767	0.9501307952
768	0.9496966218
769	0.949460796
770	0.9491676255
771	0.94814478
772	0.9473680886
773	0.9468543544
774	0.9466360577
775	0.9461184319
776	0.945647496
777	0.9453509445
778	0.9451075702
779	0.9444953857
780	0.944299701
781	0.943987891
782	0.9434146767
783	0.9430118512
784	0.9426356915
785	0.9423559736
786	0.9415999339
787	0.9413046171
788	0.9409021594
789	0.9403622468
790	0.9400934824
791	0.9398717746
792	0.9397829664
793	0.9395250742
794	0.9390470938
795	0.9384642075
796	0.938209442
797	0.9379523692
798	0.9373683277
799	0.9367003537
